case_id,expanded_route_id,base_route_id,source_tree,case_number,global_case_number,seed,route_depth,final_rule,final_output_class_id,expected_mode,input_xml_path,input_xml_flat_path,expected_output_path,tree_version,mapping_version,generator_version
BT-GPA-001__DIRECT__0001,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,1,1,72976606456972,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0001.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0001.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0002,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,2,2,94361714011069,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0002.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0002.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0003,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,3,3,279518476173835,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0003.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0003.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0004,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,4,4,179077620660021,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0004.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0004.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0005,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,5,5,277550053068546,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0005.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0005.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0006,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,6,6,125940035462113,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0006.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0006.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0007,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,7,7,88614963012534,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0007.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0007.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0008,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,8,8,171344726169239,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0008.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0008.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0009,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,9,9,1693614367282,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0009.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0009.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0010,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,10,10,56832649047407,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0010.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0010.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0011,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,11,11,248014806604069,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0011.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0011.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
